model_name,checkpoint_path,threshold_kind,target_precision,confidence_threshold,category_id,category_name,predicted_probability,accepted_probability,accepted_distribution
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,9,Game birds,0.0067,0.0055,0.007352941176470588
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,10,Parrots and tropical birds,0.0092,0.0086,0.011497326203208556
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,11,Waterfowl,0.0038,0.0031,0.004144385026737968
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,12,Marsupials and monotremes,0.0036,0.0034,0.004545454545454545
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,13,Marine invertebrates and mollusks,0.0096,0.0077,0.010294117647058823
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,14,Crustaceans,0.0083,0.0071,0.00949197860962567
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,15,Wading and shore birds,0.0165,0.0152,0.020320855614973262
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,16,"Seabirds, penguins, and albatrosses",0.0019,0.0017,0.0022727272727272726
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,17,Marine mammals,0.0038,0.003,0.004010695187165776
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,18,Toy and companion dogs,0.0066,0.0046,0.006149732620320855
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,19,Hound dogs,0.0171,0.0126,0.016844919786096257
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,20,Terrier dogs,0.025,0.02,0.026737967914438502
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,21,"Retrievers, setters, and spaniels",0.0192,0.0162,0.021657754010695186
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,22,"Working, herding, and guard dogs",0.0162,0.012,0.016042780748663103
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,23,"Spitz, bulldogs, poodles, and other dogs",0.0301,0.0238,0.031818181818181815
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,24,Wild canids and hyenas,0.0146,0.0131,0.01751336898395722
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,25,Domestic cats,0.0044,0.0036,0.004812834224598931
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,26,Big cats,0.0072,0.0067,0.008957219251336898
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,27,Bears,0.0043,0.0038,0.0050802139037433155
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,28,Small carnivores,0.0015,0.0013,0.0017379679144385028
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,29,Beetles,0.0083,0.0076,0.010160427807486631
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,30,"Flies, bees, ants, and grasshopper-like insects",0.0142,0.012,0.016042780748663103
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,31,Dragonflies and butterflies,0.0075,0.0073,0.009759358288770054
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,32,Echinoderms,0.0025,0.0016,0.0021390374331550803
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,33,Rabbits and rodents,0.008,0.0074,0.009893048128342246
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,34,Hoofed mammals,0.0177,0.0147,0.0196524064171123
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,35,Mustelids and related mammals,0.0067,0.0056,0.0074866310160427805
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,36,Armadillos and sloths,0.002,0.0019,0.0025401069518716578
